VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	GENE_NAMES
REACTOME_POTASSIUM_CHANNELS	SET	14	0.55962	0.062012	0.27608	0.021451	REACTOME_POTASSIUM_CHANNELS	KCNG1,KCNQ1,KCNH2,KCNC1,GABBR2,KCNH5,KCNMA1,HCN1,KCNAB1,KCNMB3,GNG7,KCNQ3,KCNQ5,KCNMB2
REACTOME_EPIGENETIC_REGULATI...	SET	6	0.83321	0.06066	0.42038	0.023861	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	MNAT1,DNMT1,POLR1E,TAF1D,HDAC2,HIST1H2BO
REACTOME_NEGATIVE_EPIGENETIC...	SET	6	0.83321	0.06066	0.42038	0.023861	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	MNAT1,DNMT1,POLR1E,TAF1D,HDAC2,HIST1H2BO
REACTOME_SIGNALING_BY_EGFR	SET	2	1.4396	0.060616	0.72673	0.023929	REACTOME_SIGNALING_BY_EGFR	SH3GL3,ADAM12
REACTOME_BUDDING_AND_MATURAT...	SET	2	1.4295	0.060191	0.72698	0.024758	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	VTA1,NEDD4L
REACTOME_S_PHASE	SET	7	0.76097	0.059812	0.38933	0.025445	REACTOME_S_PHASE	MNAT1,RBX1,PSMC1,PSMD11,CABLES1,RB1,PSMD6
REACTOME_TRNA_MODIFICATION_I...	SET	4	1.0005	0.059527	0.51442	0.026019	REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	NSUN2,TRMT1,CDKAL1,KIAA1456
REACTOME_TRNA_PROCESSING	SET	4	1.0005	0.059527	0.51442	0.026019	REACTOME_TRNA_PROCESSING	NSUN2,TRMT1,CDKAL1,KIAA1456
REACTOME_INSERTION_OF_TAIL_A...	SET	2	1.4097	0.059361	0.72682	0.026343	REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	ALDH3A2,UBE2J2
REACTOME_VOLTAGE_GATED_POTAS...	SET	8	0.70644	0.059334	0.36432	0.026375	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	KCNG1,KCNQ1,KCNH2,KCNC1,KCNH5,KCNAB1,KCNQ3,KCNQ5
REACTOME_SIGNALING_BY_ERBB4	SET	5	0.84509	0.056189	0.46009	0.033255	REACTOME_SIGNALING_BY_ERBB4	NRG1,NRG2,ERBB4,GABRG3,WWOX
REACTOME_SIGNALING_BY_NOTCH4	SET	5	0.8324	0.055346	0.46032	0.035418	REACTOME_SIGNALING_BY_NOTCH4	RBX1,PSMC1,PSMD11,FBXW7,PSMD6
REACTOME_NEGATIVE_REGULATION...8	SET	5	0.8324	0.055346	0.46032	0.035418	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	RBX1,PSMC1,PSMD11,FBXW7,PSMD6
REACTOME_REGULATION_OF_EXPRE...	SET	6	0.75442	0.054924	0.42059	0.036568	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	RBX1,PSMC1,PSMD11,PSMD6,ROBO1,ROBO2
REACTOME_RUNX1_REGULATES_TRA...1	SET	2	1.3007	0.054768	0.72686	0.036912	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING	ELF2,RUNX1
REACTOME_SIGNALING_BY_GPCR	SET	64	0.23636	0.054726	0.13229	0.037133	REACTOME_SIGNALING_BY_GPCR	PRKCH,GUCA1A,DGKG,GNAI3,PRKCQ,TRPC7,RPS6KA2,DHRS9,LRP2,ADRBK2,FZD3,CCR6,PDE8B,TACR1,GPR68,ITPR2,PDE1B,GRM4,C3,MCF2L,RGS13,ADGRE3,RAMP1,RGS22,PDE6A,CHRM3,PDE6B,VAV3,AGT,DGKB,GABBR2,RDH16,VAV1,RGS5,CAMKMT,ECE2,CAMK2D,TIAM2,PAK1,ITPR1,PDE1C,ADCY8,CXCL13,DGKI,ABR,KALRN,TSHR,GPR176,SDC2,PRKCE,NBEA,NET1,GNG7,GPC5,GRM8,PLCB1,GPC6,GPR39,PDE4B,UTS2B,GRM7,LPAR1,GRK5,CCL5
REACTOME_ORC1_REMOVAL_FROM_C...	SET	4	0.8995	0.053517	0.51441	0.040321	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	RBX1,PSMC1,PSMD11,PSMD6
REACTOME_DNA_REPLICATION	SET	4	0.8995	0.053517	0.51441	0.040321	REACTOME_DNA_REPLICATION	RBX1,PSMC1,PSMD11,PSMD6
REACTOME_CELLULAR_RESPONSE_T...2	SET	4	0.8995	0.053517	0.51441	0.040321	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	RBX1,PSMC1,PSMD11,PSMD6
REACTOME_DEGRADATION_OF_GLI1...	SET	4	0.8995	0.053517	0.51441	0.040321	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	RBX1,PSMC1,PSMD11,PSMD6
REACTOME_SWITCHING_OF_ORIGIN...	SET	4	0.8995	0.053517	0.51441	0.040321	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	RBX1,PSMC1,PSMD11,PSMD6
REACTOME_METABOLISM_OF_RNA	SET	21	0.39413	0.053321	0.22628	0.040911	REACTOME_METABOLISM_OF_RNA	MNAT1,NSUN2,RIOK2,IGF2BP2,HNRNPC,PSMC1,CRNKL1,TRMT1,ELAVL2,PSMD11,RNGTT,WBP4,APOBEC2,WDR33,PPIL1,CDKAL1,A1CF,PAN3,PSMD6,HNRNPF,PPIL6,KIAA1456
REACTOME_SIGNALING_BY_NOTCH1...	SET	3	1.0328	0.053237	0.59382	0.041142	REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	RBX1,FBXW7,HDAC2
REACTOME_HS_GAG_BIOSYNTHESIS	SET	5	0.77408	0.051468	0.46162	0.046926	REACTOME_HS_GAG_BIOSYNTHESIS	NDST3,SDC2,GPC5,HS3ST4,GPC6
REACTOME_HEPARAN_SULFATE_HEP...	SET	5	0.77408	0.051468	0.46162	0.046926	REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	NDST3,SDC2,GLB1,GPC5,HS3ST4,GPC6
REACTOME_SIGNALING_BY_WNT	SET	22	0.3705	0.051281	0.22148	0.047322	REACTOME_SIGNALING_BY_WNT	HECW1,AP2B1,CCDC88C,RBX1,PSMC1,AXIN1,FZD3,DKK1,PSMD11,ITPR2,PDE6A,PDE6B,TCF7L2,ITPR1,TCF7L1,PSMD6,SOX17,CTBP2,GNG7,PLCB1,PRKG1,HIST1H2BO
REACTOME_METABOLISM_OF_FAT_S...	SET	4	0.85728	0.051005	0.51591	0.048432	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	LRP2,SDC2,GPC5,GPC6
REACTOME_DEGRADATION_OF_DVL	SET	5	0.76398	0.050796	0.46042	0.04867	REACTOME_DEGRADATION_OF_DVL	HECW1,RBX1,PSMC1,PSMD11,PSMD6
REACTOME_RHO_GTPASES_ACTIVAT...4	SET	3	0.97541	0.050281	0.5942	0.050485	REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	ABL1,WIPF1,CYFIP1
REACTOME_PROLACTIN_RECEPTOR_...	SET	2	1.1918	0.050183	0.72673	0.050653	REACTOME_PROLACTIN_RECEPTOR_SIGNALING	JAK2,RBX1
REACTOME_G_ALPHA_Q_SIGNALLIN...	SET	23	0.35214	0.049812	0.21644	0.052018	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	PRKCH,DGKG,PRKCQ,TRPC7,RPS6KA2,TACR1,GPR68,ITPR2,RGS13,CHRM3,AGT,DGKB,RGS5,ITPR1,DGKI,KALRN,PRKCE,GNG7,PLCB1,GPR39,UTS2B,LPAR1,GRK5
REACTOME_INTERLEUKIN_1_SIGNA...	SET	7	0.62711	0.049291	0.3896	0.053884	REACTOME_INTERLEUKIN_1_SIGNALING	TAB1,RBX1,PSMC1,NOD1,PSMD11,NFKB1,PSMD6
REACTOME_NEURONAL_SYSTEM	SET	54	0.22815	0.048752	0.14216	0.054404	REACTOME_NEURONAL_SYSTEM	AP2B1,NRXN3,KCNG1,LRRC7,KCNQ1,KCNH2,GNAI3,RPS6KA2,SLC1A3,SLC1A1,GABRA4,NRXN2,SLC1A2,ALDH5A1,BCHE,KCNC1,SLC6A11,GABBR2,KCNH5,CAMK2D,GLRA3,DLG2,GABRA2,PTPRD,ADCY8,GRIP1,KCNMA1,NRG1,CACNA2D3,HCN1,TUBA1C,KCNAB1,IL1RAPL1,DLGAP1,KCNMB3,NBEA,PPM1E,CHRNA7,GNG7,ERBB4,NRXN1,GABRG3,CACNB4,PLCB1,ABAT,GABRR3,KCNQ3,SYN3,KCNQ5,MAPT,IL1RAPL2,KCNMB2,DLGAP2,LRRTM3,GRIN3A,GRIN2B
REACTOME_NOTCH1_INTRACELLULA...	SET	4	0.82526	0.0491	0.51463	0.054546	REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	RBX1,FBXW7,NBEA,HDAC2
REACTOME_RMTS_METHYLATE_HIST...	SET	2	1.1654	0.049073	0.72702	0.054611	REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	ARID1B,JAK2
REACTOME_CROSSLINKING_OF_COL...	SET	3	0.95053	0.048998	0.59414	0.054962	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	TLL2,LOXL2,COL4A3
REACTOME_REGULATION_OF_RAS_B...	SET	5	0.79498	0.052857	0.49933	0.055828	REACTOME_REGULATION_OF_RAS_BY_GAPS	RBX1,PSMC1,PSMD11,PSMD6,NF1
REACTOME_ANCHORING_FIBRIL_FO...	SET	2	1.157	0.04872	0.72729	0.055962	REACTOME_ANCHORING_FIBRIL_FORMATION	TLL2,COL4A3
REACTOME_HS_GAG_DEGRADATION	SET	3	0.94561	0.048745	0.59632	0.056543	REACTOME_HS_GAG_DEGRADATION	SDC2,GLB1,GPC5,GPC6
REACTOME_A_TETRASACCHARIDE_L...	SET	3	0.94561	0.048745	0.59632	0.056543	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	SDC2,GPC5,GPC6
REACTOME_DISEASES_ASSOCIATED...1	SET	3	0.94561	0.048745	0.59632	0.056543	REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	SDC2,GPC5,GPC6
REACTOME_DEFECTIVE_B4GALT7_C...	SET	3	0.94561	0.048745	0.59632	0.056543	REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	SDC2,GPC5,GPC6
REACTOME_DEFECTIVE_EXT2_CAUS...	SET	3	0.94561	0.048745	0.59632	0.056543	REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	SDC2,GPC5,GPC6
REACTOME_THE_ROLE_OF_NEF_IN_...	SET	2	1.1522	0.048516	0.72737	0.056736	REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	AP2B1,DOCK2
REACTOME_INTRA_GOLGI_TRAFFIC	SET	3	0.93775	0.048339	0.59411	0.057382	REACTOME_INTRA_GOLGI_TRAFFIC	COG2,COG5,CUX1
REACTOME_SIGNALING_BY_NOTCH	SET	12	0.46867	0.048124	0.29822	0.058171	REACTOME_SIGNALING_BY_NOTCH	CNTN1,RBX1,PSMC1,POFUT1,PSMD11,FBXW7,RUNX1,PSMD6,NBEA,HDAC2,WWP2,HIST1H2BO
REACTOME_UNBLOCKING_OF_NMDA_...	SET	4	0.80316	0.047785	0.51471	0.059478	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	LRRC7,CAMK2D,DLG2,GRIN2B
REACTOME_RAS_ACTIVATION_UPON...	SET	4	0.80316	0.047785	0.51471	0.059478	REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	LRRC7,CAMK2D,DLG2,GRIN2B
REACTOME_SIGNALING_BY_ERBB2	SET	4	0.80058	0.047631	0.5146	0.06003	REACTOME_SIGNALING_BY_ERBB2	NRG1,NRG2,PRKCE,ERBB4
REACTOME_SHC1_EVENTS_IN_ERBB...1	SET	4	0.80058	0.047631	0.5146	0.06003	REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	NRG1,NRG2,PRKCE,ERBB4
REACTOME_CYCLIN_A_CDK2_ASSOC...	SET	6	0.64024	0.046611	0.4207	0.064169	REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	MNAT1,PSMC1,PSMD11,CABLES1,RB1,PSMD6
REACTOME_CREB1_PHOSPHORYLATI...	SET	5	0.68982	0.045865	0.46061	0.067259	REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	LRRC7,RPS6KA2,CAMK2D,DLG2,GRIN2B
REACTOME_G2_M_CHECKPOINTS	SET	6	0.61782	0.044979	0.42071	0.071124	REACTOME_G2_M_CHECKPOINTS	MRE11A,PSMC1,PSMD11,CHEK1,PSMD6,HIST1H2BO
REACTOME_PRC2_METHYLATES_HIS...	SET	2	1.0482	0.044137	0.72728	0.074898	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	DNMT1,HIST1H2BO
REACTOME_DNA_METHYLATION	SET	2	1.0482	0.044137	0.72728	0.074898	REACTOME_DNA_METHYLATION	DNMT1,HIST1H2BO
REACTOME_G_ALPHA_S_SIGNALLIN...	SET	11	0.44145	0.043419	0.31122	0.078168	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	GNAI3,ADRBK2,PDE8B,PDE1B,RAMP1,ADCY8,TSHR,GPR176,GNG7,GPR39,GRK5
REACTOME_NUCLEOTIDE_EXCISION...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_NUCLEOTIDE_EXCISION_REPAIR	MNAT1,RBX1
REACTOME_FORMATION_OF_INCISI...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	MNAT1,RBX1
REACTOME_GLOBAL_GENOME_NUCLE...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	MNAT1,RBX1
REACTOME_FORMATION_OF_TC_NER...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX	MNAT1,RBX1
REACTOME_TRANSCRIPTION_COUPL...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER	MNAT1,RBX1
REACTOME_DUAL_INCISION_IN_TC...	SET	2	1.0242	0.043126	0.72717	0.079641	REACTOME_DUAL_INCISION_IN_TC_NER	MNAT1,RBX1
REACTOME_RNA_POLYMERASE_I_TR...2	SET	4	0.72252	0.042987	0.51492	0.080426	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	MNAT1,POLR1E,TAF1D,HDAC2
REACTOME_CLASS_I_MHC_MEDIATE...	SET	21	0.323	0.043697	0.23048	0.080687	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	KLHL13,NEDD4L,UNKL,LNX1,UBA5,RBX1,PSMC1,BLMH,PSMD11,KLHL2,FBXW7,CBLB,NCF2,RNF138,FBXO11,KLHL3,UBE2J2,PSMD6,ERAP2,PARK2,UBE2L3,RNF220
REACTOME_FBXW7_MUTANTS_AND_N...	SET	2	1.0172	0.042832	0.72721	0.081084	REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER	RBX1,FBXW7
REACTOME_ELEVATION_OF_CYTOSO...	SET	3	0.82917	0.042742	0.59419	0.08158	REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	TRPC7,ITPR2,ITPR1
REACTOME_RNA_POLYMERASE_I_TR...1	SET	5	0.64288	0.042744	0.46076	0.081612	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	MNAT1,POLR1E,TAF1D,HDAC2,HIST1H2BO
REACTOME_MEIOTIC_RECOMBINATI...	SET	4	0.7161	0.042605	0.51496	0.082317	REACTOME_MEIOTIC_RECOMBINATION	MRE11A,MSH4,MSH5,HIST1H2BO
REACTOME_REGULATION_OF_MECP2...	SET	2	1.0075	0.042425	0.72763	0.083214	REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY	CAMK2D,HDAC2
REACTOME_HIV_INFECTION	SET	13	0.3915	0.041823	0.28701	0.086418	REACTOME_HIV_INFECTION	AP2B1,VTA1,MNAT1,NEDD4L,TAF11,RBX1,PSMC1,PSMD11,RNGTT,DOCK2,GTF2B,TAF4B,PSMD6
REACTOME_INTERLEUKIN_1_FAMIL...	SET	8	0.49749	0.041785	0.36473	0.086421	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	TAB1,RBX1,PSMC1,NOD1,PSMD11,NFKB1,PSMD6,IL1RAPL1,PTPN9
REACTOME_GRB2_EVENTS_IN_ERBB...	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_PI3K_EVENTS_IN_ERBB...2	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_SHC1_EVENTS_IN_ERBB...2	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_PI3K_EVENTS_IN_ERBB...1	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_ERBB2_REGULATES_CEL...	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_ERBB2_REGULATES_CELL_MOTILITY	NRG1,NRG2,ERBB4
REACTOME_ERBB2_ACTIVATES_PTK...	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_DOWNREGULATION_OF_E...2	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	NRG1,NRG2,ERBB4
REACTOME_SIGNALING_BY_ERBB2_...	SET	3	0.79716	0.041092	0.59402	0.089942	REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	NRG1,NRG2,ERBB4
REACTOME_SYNTHESIS_OF_PIPS_A...	SET	5	0.61239	0.040717	0.46073	0.092035	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	PLEKHA5,MTMR1,SYNJ2,MTMR2,MTMR3,SYNJ1
REACTOME_NEGATIVE_REGULATION...7	SET	5	0.60745	0.040389	0.46076	0.09383	REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	LRRC7,CAMK2D,DLG2,PPM1E,GRIN2B
REACTOME_HEDGEHOG_LIGAND_BIO...	SET	4	0.67707	0.040283	0.51488	0.09439	REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	PSMC1,PSMD11,PSMD6,GPC5
REACTOME_SIGNALING_BY_PDGF	SET	2	0.93862	0.039523	0.72762	0.098664	REACTOME_SIGNALING_BY_PDGF	COL4A3,COL5A2
REACTOME_POSITIVE_EPIGENETIC...	SET	4	0.65935	0.039229	0.51497	0.10035	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	POLR1E,TAF1D,HDAC2,HIST1H2BO
REACTOME_CLATHRIN_MEDIATED_E...	SET	15	0.33965	0.03894	0.26718	0.10196	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	AP2B1,TFRC,AMPH,SYNJ2,LRP2,ADRBK2,TACR1,SGIP1,HIP1,REPS1,SH3GL3,FCHO2,SYNJ1,GAPVD1,DNM3
REACTOME_MEIOSIS	SET	7	0.48694	0.038274	0.38986	0.10597	REACTOME_MEIOSIS	MRE11A,MSH4,SYNE1,SYCP2,SYCP1,MSH5,HIST1H2BO
REACTOME_REPRODUCTION	SET	7	0.48694	0.038274	0.38986	0.10597	REACTOME_REPRODUCTION	MRE11A,MSH4,SYNE1,SYCP2,SYCP1,MSH5,HIST1H2BO
REACTOME_PROTEIN_PROTEIN_INT...	SET	9	0.40861	0.036385	0.3275	0.10621	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	NRXN3,NRXN2,DLG2,PTPRD,IL1RAPL1,DLGAP1,NRXN1,IL1RAPL2,DLGAP2,LRRTM3,GRIN2B
REACTOME_SIGNALING_BY_TGF_BE...1	SET	4	0.63534	0.0378	0.51502	0.1088	REACTOME_SIGNALING_BY_TGF_BETA_FAMILY_MEMBERS	NEDD4L,BMPR1B,FSTL1,TGFBR2,SMAD1
REACTOME_DEGRADATION_OF_BETA...	SET	8	0.4474	0.037578	0.36474	0.11011	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	RBX1,PSMC1,AXIN1,PSMD11,TCF7L2,TCF7L1,PSMD6,CTBP2
REACTOME_TCF_DEPENDENT_SIGNA...	SET	12	0.36497	0.037476	0.29842	0.11079	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	HECW1,CCDC88C,RBX1,PSMC1,AXIN1,DKK1,PSMD11,TCF7L2,TCF7L1,PSMD6,SOX17,HIST1H2BO
REACTOME_G_ALPHA_I_SIGNALLIN...	SET	35	0.21276	0.036924	0.17655	0.11421	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	GUCA1A,GNAI3,PRKCQ,DHRS9,LRP2,CCR6,ITPR2,PDE1B,GRM4,C3,RGS13,RGS22,PDE6A,PDE6B,AGT,GABBR2,RDH16,RGS5,CAMKMT,CAMK2D,ITPR1,PDE1C,ADCY8,CXCL13,SDC2,NBEA,GNG7,GPC5,GRM8,PLCB1,GPC6,PDE4B,GRM7,LPAR1,CCL5
REACTOME_HEDGEHOG_ON_STATE	SET	5	0.55208	0.036707	0.46066	0.1155	REACTOME_HEDGEHOG_ON_STATE	RBX1,PSMC1,PSMD11,GPR161,PSMD6
REACTOME_PCP_CE_PATHWAY	SET	5	0.5493	0.036523	0.46185	0.11728	REACTOME_PCP_CE_PATHWAY	AP2B1,PSMC1,FZD3,PSMD11,PSMD6
REACTOME_PYRUVATE_METABOLISM...	SET	2	0.86465	0.036408	0.72762	0.11748	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	ME3,PDK1
REACTOME_CROSS_PRESENTATION_...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	PSMC1,PSMD11,PSMD6
REACTOME_METABOLISM_OF_POLYA...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_METABOLISM_OF_POLYAMINES	PSMC1,PSMD11,PSMD6
REACTOME_ASSEMBLY_OF_THE_PRE...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	PSMC1,PSMD11,PSMD6
REACTOME_REGULATION_OF_MRNA_...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	PSMC1,PSMD11,PSMD6
REACTOME_APC_C_CDH1_MEDIATED...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	PSMC1,PSMD11,PSMD6
REACTOME_SCF_SKP2_MEDIATED_D...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	PSMC1,PSMD11,PSMD6
REACTOME_AUF1_HNRNP_D0_BINDS...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	PSMC1,PSMD11,PSMD6
REACTOME_DECTIN_1_MEDIATED_N...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	PSMC1,PSMD11,PSMD6
REACTOME_DNA_REPLICATION_PRE...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_DNA_REPLICATION_PRE_INITIATION	PSMC1,PSMD11,PSMD6
