GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
60676        1  176432307  176814737      1       1  100     -0.44554      0.67204
4688         1  183524697  183560056      1       1  100       0.2477      0.40218
23127        1  183898988  184006904      2       1  100      0.68891      0.24544
6003         1  192605268  192629441      1       1  100         2.17     0.015002
140609       1  198126108  198291550      2       1  100     -0.54605      0.70749
23271        1  200708686  200829832      2       1  100     -0.88929      0.81308
89796        1  201508243  201796102      2       1  100     -0.14633      0.55817
1378         1  207669473  207815110      1       1  100       1.0535      0.14605
149643       1  213003483  213020991      1       1  100      0.12652      0.44966
7399         1  215796236  216596738      1       1  100      -2.3586      0.99083
8476         1  227177566  227506193      1       1  100      0.86231      0.19426
339500       1  227751220  227865144      1       1  100     -0.71237      0.76188
22796        1  230778202  230829731      1       1  100       0.1242      0.45058
183          1  230838269  230850336      1       1  100      0.80199      0.21128
79573        1  231041987  231114618      1       1  100     -0.73334      0.76832
6894         1  234527059  234614863      1       1  100     0.044365      0.48231
9453         1  235491753  235507847      1       1  100       1.3682     0.085628
1131         1  239549876  240078750      1       1  100       0.5098       0.3051
128025       1  241815580  241965435      1       1  100       2.4526    0.0070915
54221        2     946554    1371401      1       1  100      0.23652      0.40651
23040        2    1792885    2335147      1       1  100      -1.8404      0.96715
7260         2    3192741    3381653      1       1  100       1.2845      0.09948
101926982    2    9789437    9805837      1       1  100      0.93952      0.17373
10130        2   10908889   10978103      1       1  100    -0.092395      0.53681
10669        2   27322159   27341995      1       1  100      0.35275      0.36214
238          2   29415640   30144477      1       1  100    -0.051159       0.5204
79623        2   31133331   31361592      1       1  100      0.87815      0.18993
440854       2   31395922   31456724      1       1  100    -0.067088      0.52674
4052         2   33172221   33624576      1       1  100     -0.22089      0.58741
5610         2   37332281   37384190      1       1  100       1.3107     0.094983
6546         2   40339286   40739575      1       1  100     -0.93796      0.82587
10128        2   44113363   44223144      1       1  100      0.60241      0.27345
79823        2   44589043   44999731      2       1  100     -0.90949      0.81845
5581         2   45878454   46415129      1       1  100      0.84599      0.19878
5281         2   46808413   46844251      1       1  100     -0.87745      0.80988
805          2   47387221   47404229      1       1  100      0.77039      0.22053
80204        2   48034059   48133524      1       1  100     -0.93062      0.82397
286749       2   48757064   49003656      1       1  100      -1.3223      0.90697
11036        2   48844937   49003645      1       1  100      -1.3223      0.90697
9378         2   50145643   51259674      1       1  100      -1.0063      0.84287
400954       2   54952149   55199157      1       1  100      -1.9204       0.9726
4528         2   55463756   55496384      1       1  100      0.39158      0.34768
64895        2   60983365   61029221      1       1  100       1.5035      0.06635
130872       2   61404553   61415240      1       1  100     -0.39432      0.65333
51057        2   63348518   63815867      1       1  100        0.464      0.32132
4211         2   66662257   66799891      1       1  100     -0.66473      0.74689
9938         2   68961913   69053965      1       1  100       1.2612      0.10362
307          2   69947946   70053596      1       1  100     -0.57236      0.71646
119          2   70888334   70995375      1       1  100     -0.24134      0.59535
6869         2   75273590   75426645      1       1  100     -0.58143      0.71952
1496         2   79740060   80875993      2       1  100     -0.23263      0.59198
1768         2   84743579   85046713      1       1  100     -0.32821      0.62863
56888        2   85198231   85286595      1       1  100       1.7555      0.03959
83439        2   85360583   85537511      1       1  100     -0.36894      0.64392
375248       2   97778923   97930258      1       1  100     0.046436      0.48148
343990       2   99410309   99552684      1       1  100     -0.28293      0.61139
51455        2  100016938  100106480      1       1  100       1.1087      0.13377
285190       2  108443388  108509000      1       1  100      -1.4629      0.92825
9648         2  109065577  109125854      1       1  100      -1.2842      0.90047
150468       2  113495444  113522254      1       1  100      -1.0095      0.84363
129684       2  124782864  125672954      1       1  100     -0.22825      0.59028
55339        2  128461808  128568761      1       1  100     -0.25575      0.60093
653781       2  131369106  131415610      1       1  100     -0.48585      0.68646
2863         2  133174147  133404169      1       1  100      0.33383      0.36926
344148       2  133429361  134399118      1       1  100     -0.19259      0.57636
4249         2  134877502  135212192      2       1  100       1.0803         0.14
1615         2  136664252  136743254      1       1  100      -1.1228      0.86925
80731        2  137639718  138435287      1       1  100     -0.98838      0.83852
53353        2  140988996  142889270      2       1  100       1.8776     0.030217
79712        2  144702502  145112578      1       1  100       1.3346     0.091003
130576       2  149894981  150071776      2       1  100      -0.6252      0.73408
785          2  152689285  152955593      1       1  100     -0.21396      0.58471
114793       2  153191684  153506348      1       1  100      0.55575      0.28919
29994        2  160175490  160473059      1       1  100       1.3919     0.081975
79809        2  166729872  166810348      1       1  100      0.11249      0.45522
8708         2  168346692  168727366      1       1  100       0.7363      0.23077
253782       2  169312759  169631644      1       1  100     -0.10527      0.54192
10170        2  169921299  169952677      1       1  100     -0.14029      0.55578
4036         2  169983619  170219123      1       1  100      0.62606      0.26564
5163         2  173420101  173490351      1       1  100       1.4369     0.075372
29789        2  174937175  175113365      1       1  100     -0.82181      0.79441
7456         2  175424302  175547667      1       1  100       2.7875    0.0026561
151126       2  180306709  180726232      2       1  100     -0.15102      0.56002
1290         2  189896641  190044668      1       1  100       0.3677      0.35655
56171        2  196602427  196933536      1       1  100     -0.93062      0.82397
5334         2  198669426  199014608      1       1  100    0.0053694      0.49786
26010        2  201170604  201346986      1       1  100     -0.33692      0.63191
65061        2  202655177  202760273      1       1  100      0.55882      0.28814
150864       2  203499901  203634480      1       1  100      0.79824      0.21237
65065        2  203879597  204091101      1       1  100       1.0449      0.14803
117583       2  205410516  206484886      1       1  100      0.53467      0.29644
389072       2  208686012  208890284      1       1  100     -0.71041      0.76128
2066         2  212240442  213403879      2       1  100      0.87278      0.19139
79582        2  214149103  215275225      1       1  100      0.72295      0.23485
402117       2  215276292  215440774      1       1  100      0.65062      0.25765
2335         2  216225177  216300890      2       1  100      0.34534      0.36492
5077         2  223064606  223163715      1       1  100     -0.81422      0.79224
55619        2  225629807  225907330      1       1  100      0.73027      0.23261
57624        2  226264426  226518734      1       1  100     -0.11977      0.54767
1285         2  228029281  228179508      1       1  100       1.5888     0.056058
55022        2  229888689  230136057      1       1  100     -0.45954      0.67708
151473       2  230899690  230933715      1       1  100       1.0145      0.15516
80210        2  232063294  232238606      1       1  100      0.30418       0.3805
55230        2  234384165  234475433      2       1  100       1.1383      0.12749
54576        2  234526291  234681946      1       1  100      0.23592      0.40675
54575        2  234545123  234681951      1       1  100      0.23592      0.40675
54600        2  234580544  234681951      1       1  100      0.23592      0.40675
54577        2  234590584  234681945      1       1  100      0.23592      0.40675
54578        2  234600321  234681951      1       1  100      0.23592      0.40675
54579        2  234621638  234681945      1       1  100      0.23592      0.40675
54657        2  234627438  234681945      1       1  100      0.23592      0.40675
54659        2  234637773  234681945      1       1  100      0.23592      0.40675
10267        2  238768187  238820756      1       1  100     -0.52355       0.6997
8864         2  239152679  239198678      1       1  100       1.4255     0.077012
51281        2  241418839  241500472      1       1  100       1.5632     0.058999
10752        3     238279     451100      1       1  100     -0.66979       0.7485
27255        3    1134342    1445278      1       1  100      0.47876      0.31606
152330       3    2140550    3099645      2       1  100     -0.69885      0.75768
3708         3    4535032    4889524      1       1  100       1.4133     0.078781
9695         3    5229359    5261650      1       1  100    -0.068821      0.52743
2917         3    6902802    7783218      3       2  100     -0.11496      0.54576
51066        3    8661086    8786721      1       1  100      -0.1294      0.55148
9901         3    9022275    9291369      1       1  100    -0.073615      0.52934
491          3   10365707   10733131      1       1  100    -0.024994      0.50997
6538         3   10857917   10980146      1       1  100      0.54564      0.29266
2199         3   13573824   13679922      1       1  100     -0.29627      0.61649
152273       3   14852247   14976072      1       1  100      0.52064      0.30131
339862       3   18004064   18310414      1       1  100       1.6053     0.054218
6304         3   18389133   18480265      1       1  100      -1.2304      0.89073
9975         3   23986751   24022109      1       1  100      0.36395      0.35795
7068         3   24158644   24536772      2       1  100     -0.57189       0.7163
27303        3   29322351   30051886      1       1  100     -0.64186      0.73952
7048         3   30647994   30735634      1       1  100     -0.46785      0.68005
10491        3   33155450   33189265      1       1  100     -0.66911      0.74829
6769         3   36421842   36589499      1       1  100      -1.4901       0.9319
9940         3   38080497   38164228      1       1  100      -0.1485      0.55902
199223       3   39149152   39180394      1       1  100       1.2703        0.102
25924        3   39850405   40301812      1       1  100      0.78733      0.21554
54986        3   41288090   42056080      1       1  100      0.77996      0.21771
285343       3   44379574   44450940      1       1  100      -0.2723      0.60731
23395        3   45430053   45590334      1       1  100     0.088959      0.46456
646498       3   49215069   49229291      1       1  100    0.0021775      0.49913
3697         3   52811602   52826084      1       1  100     0.064643      0.47423
55799        3   54156620   55108584      1       1  100      -2.0421      0.97943
2272         3   59735036   61237133      1       1  100      0.84303      0.19961
5793         3   61547243   62280573      1       1  100       1.8424     0.032708
8618         3   62384021   62861064      2       1  100     0.061842      0.47534
132204       3   63263914   63602597      1       1  100     -0.45995      0.67722
9861         3   63996225   64009686      1       1  100     0.030702      0.48775
56999        3   64501330   64673676      1       1  100      0.61252       0.2701
151647       3   68780915   68981761      1       1  100       1.9458      0.02584
4286         3   69788586   70017488      1       1  100      -1.2826      0.90018
27086        3   71003865   71633140      1       1  100      -0.5396      0.70526
317649       3   71728440   71803924      1       1  100      0.48103      0.31525
6092         3   75955845   77699115      1       1  100      0.61469      0.26938
6091         3   78646388   79817059      1       1  100      0.36721      0.35673
253559       3   85008133   86123579      2       1  100     -0.61258      0.72992
200959       3   97705527   97754148      1       1  100        1.719     0.042807
84319        3   99536678   99897476      1       1  100      0.62879      0.26474
11259        3   99551988   99833349      1       1  100      0.62879      0.26474
55076        3  100211463  100296297      1       1  100       0.8357      0.20166
868          3  105374306  105589354      2       1  100      0.88221      0.18883
285335       3  111859752  112013105      1       1  100      -1.3006       0.9033
26137        3  114033348  114866132      1       1  100     -0.26258      0.60356
2596         3  115342151  115440334      1       1  100       0.4941      0.31062
89876        3  119421869  119485949      1       1  100     0.042712      0.48297
9515         3  120627050  121143608      1       1  100      0.25111      0.40086
8997         3  123813558  124440036      1       1  100      0.61477      0.26935
54946        3  125725200  125820398      2       1  100     -0.35663      0.63932
10840        3  125822404  125900029      1       1  100      -1.0991      0.86415
348807       3  126113751  126155399      1       1  100    -0.022384      0.50893
5361         3  126707437  126756235      1       1  100     -0.21199      0.58394
166348       3  127634075  127706514      1       1  100       1.0672      0.14295
55764        3  129158671  129239350      1       1  100       1.1186      0.13165
79858        3  130745694  131069309      1       1  100     -0.18379      0.57291
131034       3  131252413  131759152      1       1  100      -1.3619      0.91338
84129        3  132276982  132378975      1       1  100      0.46143      0.32224
79876        3  132373290  132397467      1       1  100      0.46143      0.32224
2047         3  134514099  134979309      1       1  100      -1.3127      0.90536
56945        3  139062861  139075888      1       1  100     -0.04449      0.51774
253461       3  141043055  141168634      1       1  100      0.96376      0.16758
344758       3  154055461  154147504      1       1  100     -0.12715      0.55059
23007        3  155197670  155462878      1       1  100      0.46081      0.32247
7881         3  155838337  156256927      1       1  100     -0.17242      0.56845
100505385    3  158787041  159615155      1       1  100     -0.36249      0.64151
29970        3  158991036  159615155      1       1  100     -0.36249      0.64151
57560        3  159974774  160118028      1       1  100     -0.12374      0.54924
10051        3  160117078  160152755      1       1  100      0.69019      0.24504
590          3  165490692  165555260      1       1  100      0.16492      0.43451
7095         3  169684580  169716161      1       1  100         1.19      0.11702
254827       3  174577095  175523428      1       1  100     -0.63524      0.73736
10242        3  178254086  178562217      1       1  100       1.0471      0.14752
27094        3  178957537  178984838      1       1  100     -0.97587      0.83544
51555        3  179512746  179754841      1       1  100     -0.60762      0.72828
54800        3  183353398  183402307      1       1  100     -0.13718      0.55455
9718         3  183967445  184010819      1       1  100       0.5644      0.28624
23355        3  184529925  184770402      1       1  100       1.0254      0.15258
1962         3  184908412  184971886      1       1  100     -0.68232      0.75248
1608         3  185852896  186080023      1       1  100     -0.21182      0.58388
4026         3  187871097  188608460      1       1  100    -0.036634      0.51461
285386       3  188817910  189041271      2       1  100     -0.84562      0.80112
55214        3  189674517  189840226      1       1  100     -0.09516      0.53791
257313       3  190984944  191048325      1       1  100     -0.78912      0.78498
2257         3  191857033  192445388      2       1  100     -0.53296      0.70297
7037         3  195776155  195809032      1       1  100     -0.56509        0.714
9711         3  197398259  197476568      1       1  100      0.40687      0.34205
5158         4     619363     664681      1       1  100     -0.28916      0.61377
9778         4    6784459    6885899      1       1  100    -0.033192      0.51324
57533        4    6911171    7034845      1       1  100      -2.1382      0.98375
57537        4    7194374    7744564      1       1  100     -0.24724      0.59764
101928948    4    9533585    9609872      1       1  100       0.9851      0.16229
85460        4   10441497   10459032      1       1  100      0.23748      0.40614
9364         4   13343863   13485989      1       1  100      0.10875       0.4567
114905       4   15341560   15447791      1       1  100     -0.51052      0.69516
57545        4   15471489   15603594      1       1  100      0.94914      0.17128
9079         4   16503164   16900424      1       1  100    0.0097702       0.4961
10891        4   23793644   24474394      1       1  100     -0.69514      0.75651
5099         4   30721951   31148423      1       1  100      0.26878      0.39405
116984       4   36067620   36245979      1       1  100      -1.1058       0.8656
55286        4   37455552   37595132      1       1  100     -0.61771      0.73162
55728        4   40058524   40159872      1       1  100       1.2545      0.10483
54502        4   40425272   40632958      1       1  100      0.29925      0.38237
2555         4   46246470   46392056      1       1  100     -0.54109      0.70578
2557         4   46920917   46996424      1       1  100     -0.33995      0.63305
10699        4   47596015   47840395      2       1  100      0.60419      0.27286
132299       4   48887405   48908815      1       1  100       2.1503     0.015766
84708        4   54326437   54518653      1       1  100     -0.34818      0.63615
55858        4   56262080   56292342      1       1  100       1.7132     0.043339
3490         4   57897237   57976551      1       1  100      0.11112      0.45576
23284        4   62066949   62938168      2       1  100      -1.3935      0.91826
9508         4   73146686   73434516      1       1  100     -0.68361      0.75289
57619        4   77356253   77704406      1       1  100    -0.036971      0.51475
10563        4   78432907   78532988      1       1  100       1.4732     0.070353
255119       4   81256861   81884910      1       1  100      0.65043      0.25771
79966        4   83550690   83720010      1       1  100      0.29057      0.38569
23001        4   85590690   85887544      1       1  100     -0.60174      0.72632
83478        4   86068860   86923823      2       1  100     -0.90901      0.81833
401145       4   91048684   92523370      1       1  100     -0.66279      0.74627
2895         4   93225453   94695707      1       1  100      0.38066      0.35173
658          4   95679128   96079601      1       1  100       1.2661      0.10274
8633         4   96083655   96470361      1       1  100     -0.16907      0.56713
4790         4  103422486  103538459      1       1  100     -0.73355      0.76839
84570        4  109731877  110223799      1       1  100      0.40526      0.34264
287          4  113739239  114304896      1       1  100       1.2338      0.10864
817          4  114372188  114683669      1       1  100       1.0011      0.15838
9348         4  118955500  119179789      1       1  100    -0.097635      0.53889
401152       4  120217574  120225600      1       1  100       -1.277       0.8992
27152        4  128554087  128637934      1       1  100     -0.91826      0.82076
1998         4  139978871  140098372      1       1  100       2.3149      0.01031
4717         4  140211071  140223705      1       1  100       1.6523     0.049233
6059         4  146019156  146050676      1       1  100     -0.32556      0.62762
4086         4  146402951  146480328      1       1  100      0.13089      0.44793
84068        4  147175137  147443123      1       1  100      -2.1259      0.98324
4306         4  148999915  149365850      1       1  100     -0.21182      0.58388
55294        4  153242410  153456393      1       1  100      0.59627       0.2755
56884        4  162305044  163085186      1       1  100       1.4488     0.073701
11275        4  166128770  166244308      2       1  100      0.12631      0.44974
11199        4  169013688  169108893      1       1  100       1.2641       0.1031
23022        4  169418215  169849608      1       1  100      -1.5302      0.93702
84869        4  169815774  169931468      1       1  100      -1.8304      0.96641
51809        4  174089904  174245118      3       2  100      -1.3449      0.91068
8001         4  175545367  175750465      1       1  100      0.37163      0.35508
285500       4  178363692  178597453      1       1  100     -0.87002      0.80786
55714        4  183065112  183724177      2       1  100      -1.1665      0.87829
56977        4  184826509  184944679      1       1  100     -0.73349      0.76837
133121       4  185009859  185139114      1       1  100     -0.22437      0.58877
8470         4  186506598  186877870      1       1  100      0.26701      0.39473
11076        5     659977     693510      1       1  100      -1.4171      0.92177
54888        5    6599352    6633473      2       1  100       1.7316     0.041673
9037         5    9035138    9546233      2       1  100      -1.4743       0.9298
1501         5   10971952   11904155      1       1  100     -0.80531      0.78968
1767         5   13690437   14011841      3       2  100      -1.2889      0.90128
54463        5   16472922   16617167      1       1  100      -1.5847      0.94348
10409        5   17216932   17276954      1       1  100      -1.0393      0.85066
1016         5   19473140   20575972      4       2  100       -1.648      0.95033
23037        5   31639345   32111038      1       1  100    -0.070788      0.52822
81792        5   33523640   33892319      1       1  100      0.99899       0.1589
153657       5   34839269   34899567      1       1  100        1.055      0.14571
133688       5   35953191   36066639      1       1  100      -0.3987      0.65494
6507         5   36606457   36688436      1       1  100      0.96919      0.16623
730          5   40909599   40983041      1       1  100      0.52193      0.30086
133558       5   40998122   41071444      1       1  100       1.4028     0.080343
345557       5   41307048   41510730      1       1  100     -0.64975      0.74207
348980       5   45255052   45696220      1       1  100       1.2505      0.10555
3672         5   52084136   52249485      1       1  100      0.87593      0.19053
79722        5   55395507   55529186      1       1  100    -0.048832      0.51947
11174        5   64444563   64777704      1       1  100       1.7173     0.042962
373          5   64885507   64920187      1       1  100     0.063732      0.47459
167465       5   71738238   71803249      1       1  100     -0.43621      0.66866
115548       5   72251808   72386349      1       1  100     -0.41976      0.66267
10788        5   75699131   76003957      1       1  100      -1.2616      0.89644
8622         5   76476082   76724081      1       1  100     -0.11865      0.54723
411          5   78073032   78282357      2       1  100     -0.77274      0.78016
202333       5   78985659   79096049      1       1  100      0.50964      0.30515
256987       5   79407050   79551898      1       1  100     -0.61568      0.73095
1404         5   82934017   83016896      1       1  100      0.64935      0.25806
84059        5   89854617   90460254      1       1  100      -1.1156      0.86771
79772        5   94038280   94620279      2       1  100       1.2771      0.10079
64167        5   96211644   96255420      1       1  100       1.4194     0.077896
55781        5   96496571   96519005      1       1  100      0.82622      0.20434
83594        5  102884556  102898493      1       1  100      0.63106        0.264
64839        5  107194734  107718080      1       1  100      0.57355      0.28313
2241         5  108083523  108523373      1       1  100      0.23652      0.40651
9315         5  111065000  111312628      2       1  100      0.48874      0.31251
57556        5  115779251  115910551      2       1  100      0.95942      0.16867
153241       5  122680579  122759286      1       1  100       2.5118    0.0060054
56990        5  130599702  130730383      1       1  100       -2.165       0.9848
51735        5  130759614  130970929      1       1  100      -1.8547      0.96818
100996485    5  134368970  134680370      1       1  100      -1.0062      0.84283
57113        5  135548458  135701164      1       1  100       1.6523     0.049233
26249        5  136953189  137150310      1       1  100     -0.52828      0.70135
9542         5  139226364  139422884      1       1  100     -0.15016      0.55968
54882        5  139781399  139919441      1       1  100       1.2557      0.10461
404734       5  139781399  139929163      1       1  100       1.2557      0.10461
56114        5  140709388  140892546      1       1  100     -0.93078      0.82402
56113        5  140718354  140892546      1       1  100     -0.93078      0.82402
56112        5  140723601  140892546      1       1  100     -0.93078      0.82402
56104        5  140729828  140892546      1       1  100     -0.93078      0.82402
56111        5  140734768  140892546      1       1  100     -0.93078      0.82402
56103        5  140739409  140892546      1       1  100     -0.93078      0.82402
56110        5  140743729  140892546      1       1  100     -0.93078      0.82402
56109        5  140749811  140892546      1       1  100     -0.93078      0.82402
56102        5  140749962  140892546      1       1  100     -0.93078      0.82402
5521         5  145969067  146461083      2       1  100      -1.5196       0.9357
133522       5  149109815  149234585      1       1  100       0.1553      0.43829
5145         5  149237519  149324356      1       1  100       1.4123     0.078932
1436         5  149432854  149492935      1       1  100     0.052879      0.47891
10318        5  150409504  150467221      1       1  100      0.70202      0.24133
27430        5  162930070  162946359      1       1  100      -2.0785      0.98117
57451        5  166406083  167691162      1       1  100      0.59898      0.27459
6586         5  168088738  168728133      3       2  100      -1.1922      0.88342
1794         5  169064251  169510386      1       1  100       1.8511     0.032076
30820        5  169780491  170163636      2       1  100     -0.82861      0.79634
6793         5  171469074  171615346      1       1  100     -0.09752      0.53884
375484       5  175665370  175772992      1       1  100       1.8131     0.034904
64324        5  176560026  176727214      1       1  100      0.57835      0.28151
91522        5  177664617  178017573      3       2  100    -0.082399      0.53284
55770        6     485138     693141      1       1  100      -1.2435      0.89315
8737         6    3064201    3115421      1       1  100      -0.1837      0.57288
81567        6    7881483    7911047      1       1  100      0.47059      0.31897
54898        6   10980992   11044624      1       1  100     0.031773      0.48733
4739         6   11183531   11382581      1       1  100      -1.5851      0.94353
84062        6   15523032   15663289      1       1  100     -0.47557      0.68281
6310         6   16299343   16761721      2       1  100            2      0.02275
54901        6   20534688   21232635      2       1  100     -0.95123      0.82926
7915         6   24495197   24537435      1       1  100     -0.81765      0.79322
8348         6   27861203   27926100      1       1  100      0.33537      0.36867
401250       6   31496739   31498008      1       1  100     -0.54179      0.70602
4439         6   31707725   31730455      1       1  100       1.0429      0.14849
6048         6   32146162   32148570      1       1  100     -0.93075      0.82401
117283       6   33689415   33714762      1       1  100      0.65579      0.25598
2914         6   33989623   34123399      1       1  100       0.9556      0.16964
6882         6   34845555   34855908      1       1  100     -0.84358      0.80055
51645        6   36822605   36842800      1       1  100      0.65106       0.2575
1769         6   38683117   38998574      3       2  100     -0.51039      0.69511
221458       6   39302876   39693181      2       1  100     -0.15018      0.55969
10930        6   41020940   41032630      1       1  100     -0.10351      0.54122
129685       6   42018251   42055093      1       1  100       1.2315      0.10906
2978         6   42123144   42147794      1       1  100      0.29323      0.38468
55809        6   42192669   42419943      1       1  100     -0.65123      0.74255
5754         6   43044006   43129458      1       1  100        1.352     0.088189
4224         6   46761094   46807519      1       1  100      0.45394      0.32494
5314         6   51480145   51952423      1       1  100      -1.4788       0.9304
8521         6   52991759   53013624      1       1  100      0.52931       0.2983
90523        6   53883714   54131078      1       1  100     -0.56509        0.714
54511        6   55299171   55444012      1       1  100      0.71217      0.23818
202559       6   62389865   62996100      1       1  100       1.2209      0.11107
346007       6   64429876   66417118      3       2  100     -0.84155      0.79998
577          6   69345210   70099403      2       1  100      -1.0071      0.84305
56479        6   73331571   73908574      1       1  100      -1.0661      0.85682
101928601    6   78360302   78634476      1       1  100       1.9919     0.023193
55023        6   79644136   79788011      1       1  100     -0.25765      0.60166
4907         6   86159302   86205509      1       1  100     -0.14395      0.55723
8732         6   89319988   89673440      2       1  100     -0.85104      0.80263
9994         6   90539619   90584155      2       1  100      0.53796       0.2953
2045         6   93949738   94129302      1       1  100     -0.44793       0.6729
10973        6  100956325  101329243      1       1  100      -1.3428      0.91033
202          6  106808683  107018335      1       1  100     -0.28339      0.61156
11231        6  108188960  108279482      1       1  100      0.56467      0.28615
285755       6  109711418  109762374      1       1  100      0.21527      0.41478
8528         6  110709545  110736839      1       1  100       1.3928     0.081845
5980         6  111620234  111804421      1       1  100      -1.0023      0.84189
3066         6  114257320  114292359      1       1  100       1.0539      0.14596
221294       6  116421999  116566853      2       1  100     -0.75051      0.77353
221302       6  116956781  116989973      1       1  100       1.9837     0.023642
57515        6  122764493  122793051      1       1  100      0.23116       0.4086
154215       6  124124991  125146786      2       1  100       0.3474      0.36415
51020        6  125596496  125623287      1       1  100      0.65043      0.25771
3908         6  129204286  129837711      1       1  100      -2.3586      0.99083
93663        6  129897290  130031370      1       1  100       1.3598     0.086955
84456        6  130339728  130462594      2       1  100       1.1884      0.11733
5169         6  131958375  132068550      1       1  100      -2.1486      0.98417
6446         6  134490384  134639196      1       1  100      0.11114      0.45575
100507462    6  139046348  139094816      1       1  100       2.8771    0.0020067
85021        6  139225620  139309419      1       1  100     -0.16699      0.56631
167838       6  139561198  139645148      1       1  100      0.22031      0.41282
51534        6  142468372  142542085      1       1  100       1.1668      0.12164
57211        6  142623056  142767403      1       1  100     -0.99134      0.83924
79747        6  146920136  147136598      1       1  100     -0.11445      0.54556
57621        6  151685250  151712677      1       1  100      0.83645      0.20145
55005        6  151725897  151773316      1       1  100     -0.75135      0.77378
23345        6  152442819  152958534      2       1  100      0.47914      0.31592
26230        6  155316488  155578857      1       1  100      -2.1203      0.98301
